chr	sp	fish	MinCov	MaxCov	AverCov	SDCov
LR778254.1	C.acrinasus	THU183	6	388.041	89.6735484221453	80.221198758606
LR778255.1	C.acrinasus	THU183	6	389.956	89.4145659780371	80.7396250542138
LR778256.1	C.acrinasus	THU183	6	1172.5	99.6414378486056	98.0476854472702
LR778257.1	C.acrinasus	THU183	6	1041.18	91.3867184501348	90.2741817429078
LR778258.1	C.acrinasus	THU183	6	708.414	90.8092717294751	82.8961459116847
LR778259.1	C.acrinasus	THU183	6	947.341	91.8319267992978	90.9346652668055
LR778260.1	C.acrinasus	THU183	6	550.667	92.6110192307692	84.2928568952981
LR778261.1	C.acrinasus	THU183	6	2039.4	94.4749960543338	90.7202183186942
LR778262.1	C.acrinasus	THU183	6	509.591	92.9821843320426	82.2837200586057
LR778263.1	C.acrinasus	THU183	6	396.574	94.9927264253597	82.3104624730002
LR778264.1	C.acrinasus	THU183	6	526.792	91.1157837803264	81.920957097558
LR778265.1	C.acrinasus	THU183	6	2624.98	96.0188132184443	100.885060039996
LR778266.1	C.acrinasus	THU183	6	4480.46	95.4931192992874	136.291867500589
LR778267.1	C.acrinasus	THU183	6	966.943	92.387050815565	88.1085366547361
LR778268.1	C.acrinasus	THU183	6	445.898	92.7565079301356	82.7433889088201
LR778269.1	C.acrinasus	THU183	6	724.19	97.1782546716698	89.9155199424969
LR778270.1	C.acrinasus	THU183	6	864.321	96.6598440469689	91.0018771965204
LR778271.1	C.acrinasus	THU183	6	1145.94	92.7491994169366	85.7051650989728
